"レコード番号","店名","ジャンル","予算","店までの所要時間（だいたい）","お店のURL、おすすめポイントなど（詳しい情報ほどありがたいです）","URL（食べログのURLなど）","住所","画像URL","店名よみがな","味","コスパ","提供の早さ","雰囲気","分煙"
"29","ベルジアンビア・カフェ リエージュギユマン 東京八重洲店","カフェ","500円から1000円","5","量が多い。フライドポテトが特に美味しい。夜もきっと良いはずだ。","http://tabelog.com/tokyo/A1302/A130202/13134199/","東京都中央区八重洲1-4-16 八重仲ダイニングB1","https://tabelog.com/imgview/original?id=r7208182230223","べるべじあんかふぇ　りえーじゅぎるまん とうきょうやえすてん","5","4","","","なし"
"28","アジアンダイニング シディーク 日本橋店","アジアン","500円から1000円","5","とっても近いカレー屋さんです！
持ち帰りもあります！早目に行くのがベストです！
味はまあまあです。
","http://www.siddique.co.jp/#!nihonbashi-asian-dining-sddique/c1tgy","東京都中央区日本橋2-8-10　B1F","https://static.wixstatic.com/media/810db3_96e55b82e2a24816adaca7f43cfd3348.jpg","あじあんだいにんぐ しでぃーく にほんばしてん","","","","","なし"
"27","紅花別館","カレー","1000円から1500円","5","ココットカレーというスリランカカレーを是非一度ご賞味ください！
結構辛いですが、意外に後に残らないさわやかな辛さです。

中々歴史のあるレストランのようです。","http://tabelog.com/tokyo/A1302/A130202/13000487/","","https://tabelog.com/imgview/original?id=r8228288223345","べにばなべっかん","5","","","","なし"
"26","つじ半","和食","1000円から1500円","5","「あ、本物ってこれや！」

思わず舌鼓を打たざるをえない「つじ半」の海鮮丼。
9種類の海鮮がミックスされた丼の具材を口に運ぶ。そう、目はそっと閉じて。
その瞬間、わたしたちは食感三次元の世界に足を踏み入れることになる。

ふわっ、コリっ、ぷちっ、さくっ。

海鮮たちが各々に噛みごたえを主張する。あなうまし。
食べ終わった後は、鯛茶漬けが振る舞われる。いとわびし。
これで980円ですかと、そうですかと。日本が世界に橋を掛けてますかと。

ざっと1時間は並びます、女性の方は日傘をわすれずに。","http://tabelog.com/tokyo/A1302/A130202/13146590/","","https://tabelog.com/imgview/original?id=r2079748832393","つじはん","5","","5","5","あり"
"25","お多幸","和食","500円から1000円","5","ご飯の上に煮込んだ豆腐が乗ってます！

タレがご飯の隅々までいきわたっていて、
美味しいです。

ご飯の上に豆腐を乗せたきっかけは、
お客様のリクエストらしい。

それを看板メニューにするって、
すばらしいです。","http://r.gnavi.co.jp/a439400/","東京都中央区日本橋2-2-3 お多幸ビル","https://uds.gnst.jp/rest/img/s44rchhw0000/s_005l.jpg","おたこう","5","5","","","なし"
"24","ミートビストロ タン","洋食","1000円から1500円","3","悩みがつきないということは、人間が生きている証である──。

歴史上の誰かが多分こんなことを言っていたし、ぼくらはいつも悩んでいる。
「ああ、おにくが食べたい。おなかいっぱい頬張りたい、でも野菜もたべなきゃ……」
例えばこんな悩み。人生とは選ぶことであり、捨てること、とおにくはいつも教えてくれる。

お肉と野菜のマリアージュこそ、至高の桃源郷。
この難題に最適なソリューションを提供してくれるのが
meatbistro tanの「ローストビーフサラダ丼」（980円税抜）である。

驚くべきは、ローストビーフ丼よりもはるかに大きいお皿に、
めいっぱいのサラダを盛りつけて提供してくれること。
おにくを食べにきたはずなのに、いつの間にかサラダを食べている。
おにく1：野菜2の割合だ。
おにく、野菜、野菜、おにく、野菜、野菜……。超うんめー。

これである。ローストビーフサラダ丼を食べたあと、
いつの間にかおにくの悩みは消え失せ、日本橋の空も晴れ渡っていた。
ぼくは踵を返し、いくぶん軽くなった足取りでオフィスに帰った。

東京日本橋ビルの地下からすぐにいけます。
13時以降にいくと、ほぼ並びなくはいれる感じです。","http://r.gnavi.co.jp/5nmpg8hj0000/lunch/","","https://uds.gnst.jp/rest/img/5nmpg8hj0000/s_001s.jpg?t=1514110731","みーとびすとろ　たん","5","","","5","あり"
"23","博多もつ鍋 やまや 日本橋店","和食","1000円から1500円","5","めんたいこで有名な”やまや”に、明太子と高菜の食べ放題ランチに行って来ました。
12時前にお店に着きましたが、少しだけ行列が出来ていました。
並んでいる間に注文をするので、席に着いたらすぐに料理が運ばれてきます。
回転率が早いので、お昼を食べ損ねる事はなさそうです。

しょうが焼きを頼んだのですが、お肉が柔らかくてとても美味しかったです。
明太子はやや辛めなので、小さい子供は食べれないと思います。
明太子も高菜も美味しかったのですが、ご飯も美味しくておかわりしてしまいました。","http://www.y-shokukobo.com/store/detail.php?id=28","","https://travel-noted.jp/items/15615?image_id=2kPCFIFz5X","はかたもつなべ　やまや にほんばしてん","5","","5","5","なし"
"22","鳥平","和食","500円から1000円","5","12時半に行くと空いてました。鳥のキジ焼きがお重の上にのった「きじ重」がとても美味しかったです。ご飯おかわり、大盛り無料。お味噌汁は赤出汁で濃いめだけどそれがおいしい。
隣の人が頼んでいたから揚げ定食もボリューミーそうでした。男性はいいかも。女性でも十分です。元気が出ます。
から揚げと焼き鳥に出前もできるみたいだから、イベント時とかもいいな、と思ったり。
お弁当にして持ち帰ると、650円、というのはとても良心的。","http://tabelog.com/tokyo/A1302/A130202/13064520/","","https://tabelog.com/imgview/original?id=r3987831188972","とりひら","5","5","5","5","あり"
"21","アレグロ","イタリアン","1000円から1500円","5","日替わりが880円から。ドリンク、デザート等は別料金です。
11時45分で大丈夫。12時半には空いてた。一人席もあり、テラス席もあるので
雰囲気はいい感じ。
写真は豚ロース定食とパスタ。
ドリンクは別料金。
「コーヒー牛乳」があり、コーヒーゼリーのうえにミルクが入っているもの。
デザートぽさもあり、お得感ありでした。

夜とかもいいかも","http://tabelog.com/tokyo/A1302/A130202/13109255/","","https://tblg.k-img.com/resize/660x370c/restaurant/images/Rvw/74699/74699235.jpg?token=e8ee256&api=v2","あれぐろ","5","","","5","あり"
"20","南インド料理ダクシン 八重洲店","カレー","500円から1000円","10","A コース内でも日替りカレー3種 又は 日替りカレー2種+今日のお惣菜とナン 又は バトゥラ+ライスと選択できるため、お店の人が若干迷われて、違うものが出てくることがあります。
でも、3 種では甘口・中辛・辛口全てが戴けて、どれもおいしかったです。","http://tabelog.com/tokyo/A1302/A130202/13117635/","東京都 中央区 八重洲 2-5-12 プレリービル B1F","https://tblg.k-img.com/resize/660x370c/restaurant/images/Rvw/24858/24858999.jpg?token=1098292&api=v2","みなみいんどりょうりだくしん やえすてん","5","5","","","なし"
"19","菜香苑","中華","500円から1000円","5","ティンタイフォンに振られて中華料理を探して辿り着いた店。
洒落た中華料理屋ではなくて、街の中国料理といった感じで、お店の方は中国語。
価格帯は880円が平均。高め。
昼はランチメニューのみで、定食が週替り4種類と日替わり、麺類とかが4つぐらい？
麺類にはライスをつけられる。

牛肉とニンニクの芽炒め定食（980円）と鶏肉とじゃがいもの煮物定食（880円）

共通して、
・ 出てくるのがめちゃくちゃ早い！
・ 量がめちゃくちゃ多い！メインおかずがてんこ盛り！
・ そしてめちゃくちゃ熱い！
・ 味はうまい！

今スグすげー食べたい！どうしてもすげー食べたい！ときにオススメです。","http://tabelog.com/tokyo/A1302/A130202/13114234/","コレド日本橋の裏。天香回味の隣。","https://tabelog.com/imgview/original?id=r4441036357542","さいかあん","5","","5","","なし"
"18","魚盛 日本橋店","和食","500円から1000円","7","つじ半はムリだったので、同じく海鮮丼が食べられるこちらへ。
ばくだん丼を頼んだらそばが付いていた！
味はまーそこそこ。
海鮮丼の選択肢に入れて問題無いと思います。

からあげ・アジフライ・コロッケ食べ放題定食あり。
どやさ！

夜はきっと魚屋風居酒屋としてよろこんでー！とか言うんだと思います。","http://tabelog.com/tokyo/A1310/A131002/13156407/","つじ半の一本京橋寄りの筋。","https://tblg.k-img.com/resize/660x370c/restaurant/images/Rvw/89076/89076015.jpg?token=f0d5464&api=v2","うおもり にほんばしてん","5","","","","なし"
"17","スペインバル レオン","洋食","500円から1000円","5","ウナギの寝床的なせまーいほそーい店。
中を開けると若い女子と妙齢女子がミチミチ。

ランチは4種類、880円で以下フルラインナップ！

若いあんちゃんシェフと若いねーちゃん店員が、
おばちゃん達にたんと食べさせてくれる気前のいいお店です。居心地も意外といいよ。","http://tabelog.com/tokyo/A1302/A130202/13059309/","高島屋の向こう。","https://tblg.k-img.com/resize/660x370c/restaurant/images/Rvw/26954/26954083.jpg?token=b7ba648&api=v2","すぺいんばる れおん","5","5","","","なし"
"16","ジャスミンタイ","アジアン","1000円から1500円","5","フジロックに行っている人には、とても有名なタイ料理の名店。
店員さんはタイ人の方がほとんど。

日替わりメニューが6種類ぐらい。お弁当もあり。
前は六本木と四ツ谷の2店舗だったのに、
ここ最近支店が増えてきて、近くはコレド室町にもお店あり。

定番でガパオライスを食べてみたのですが、
味は濃くもなく薄くもなく。量は多め。
ううむ、高円寺店やフジロックで食べたほうが美味しかったような気がする…。なぜかしら。
味の濃さを調整しているのか、店で違うのか。
でも美味しいですよ。タイ料理で迷ったらどうぞ。お弁当は700円ぐらい。女性のお一人様多し。","http://tabelog.com/tokyo/A1302/A130202/13134178/","東京建物八重洲ビル八重仲ダイニングB1F","https://tblg.k-img.com/resize/660x370c/restaurant/images/Rvw/49645/49645281.jpg?token=eb5cc08&api=v2","じゃすみんたい","5","","","","なし"
"15","立ち飲み処 呑うてんき","和食","500円から1000円","5","食べログより。

八重洲の路地。
あまり目立たない場所にある。
店内に入ると昭和中期？のイメージの店内。
この辺りのお昼は1000円未満近くが相場。
が、ここは600から円くらい。
しかも大盛りは無料。

ガテン系のおじさんたちしかいませんでした。
女子は皆無。
なかなかお客さんが途切れない繁盛店です。
女子には、なかなか多めな量が来ます。
期間限定のしらす丼は、美味しかったです。","http://tabelog.com/tokyo/A1302/A130201/13045527/","東京都 中央区 八重洲 1-5-17","https://tabelog.com/imgview/original?id=r8916988711827","たちのみどころ のおてんき","","5","","","なし"
"14","ロティサリーバール ダパウロ  コレド日本橋","洋食","1000円から1500円","5","広い店内でゆったりと洋食を楽しめます。
ランチメニューにはすべての商品にドリンクが付いています。
殆どのランチメニューについているナチュラル野菜スープは、しょっぱ過ぎず冷房が効いた店内でほっこり温めてくれます。
「もち豚の自家製ハンバーグ」はソースが日替わりで、今日（8/18）はチーズフォンデュでした。","http://tabelog.com/tokyo/A1302/A130202/13085173/","東京都中央区日本橋1-4-1 コレド日本橋 4F","https://tblg.k-img.com/resize/660x370c/restaurant/images/Rvw/67448/67448872.jpg?token=4810c30&api=v2","ろてぃさりーばーる だばうろ これどにほんばし","5","","","5","なし"
